sl
lsl
4mn
$mnu

Ser flntus-1075
Ver FLNTUS 3.03
Ave 55
Pkt 5
Set 36555
Rec 1
Int 00:00:30
Dat 10/23/15
Clk 21:46:15
Mem 2129
actual time is 14471214715 next tiem ime is instrument time800 next time is insturment time
$mnu

Ser flntus-1075
Ver FLNTUS 3.03
Ave 55
Pkt 5
Set 36555
Rec 1
Int 00:00:30
Dat 10/23/15
Clk 21:47:29
Mem 2129
$get
46847 records to read
08/20/14	00:04:43	695	1364	700	4121	542
08/20/14	00:04:45	695	1363	700	4121	541
08/20/14	00:04:47	695	1363	700	4121	541
08/20/14	00:04:49	695	1363	700	4121	540
08/20/14	00:04:50	695	1362	700	4121	540
08/20/14	00:05:01	695	1363	700	4121	541
08/20/14	00:05:02	695	1362	700	4121	540
08/20/14	00:05:04	695	1362	700	4121	540
08/20/14	00:05:06	695	1363	700	4121	540
08/20/14	00:05:08	695	1362	700	4121	539
08/20/14	00:05:26	695	1362	700	4121	541
08/20/14	00:05:28	695	1362	700	4121	540
08/20/14	00:05:30	695	1361	700	4121	540
08/20/14	00:05:32	695	1361	700	4121	539
08/20/14	00:05:34	695	1362	700	4121	539
08/20/14	16:35:06	695	64	700	61	552
08/20/14	16:35:07	695	65	700	61	551
08/20/14	16:35:09	695	64	700	61	551
08/20/14	16:35:11	695	64	700	61	550
08/20/14	16:35:13	695	63	700	61	550
08/20/14	16:35:30	695	64	700	54	551
08/20/14	16:35:32	695	63	700	55	550
08/20/14	16:35:34	695	63	700	55	550
08/20/14	16:35:35	695	64	700	54	550
08/20/14	16:35:37	695	64	700	55	550
08/20/14	16:35:58	695	64	700	54	550
08/20/14	16:36:00	695	63	700	54	550
08/20/14	16:36:02	695	62	700	53	549
08/20/14	16:36:04	695	62	700	53	549
08/20/14	16:36:06	695	63	700	53	549
08/20/14	16:36:13	695	62	700	54	550
08/20/14	16:36:15	695	63	700	54	549
08/20/14	16:36:17	695	62	700	54	549
08/20/14	16:36:18	695	62	700	53	548
08/20/14	16:36:20	695	63	700	54	548
08/20/14	16:36:27	695	62	700	53	549
08/20/14	16:36:29	695	62	700	53	548
08/20/14	16:36:31	695	63	700	53	548
08/20/14	16:39:11	695	64	700	54	550
08/20/14	16:39:12	695	63	700	54	549
08/20/14	16:39:14	695	63	700	53	549
08/20/14	16:39:16	695	64	700	53	548
08/20/14	16:39:18	695	63	700	54	548
08/20/14	16:40:07	695	63	700	54	550
08/20/14	16:40:09	695	63	700	54	549
08/20/14	16:40:11	695	63	700	55	548
08/20/14	16:40:13	695	62	700	53	548
08/20/14	16:40:15	695	62	700	54	548
09/15/14	00:00:26	695	1069	700	4121	577
09/15/14	00:00:28	695	1072	700	4121	576
09/15/14	00:00:29	695	1073	700	4121	576
09/15/14	00:00:31	695	1073	700	4120	575
09/15/14	00:00:33	695	1074	700	4121	575
09/15/14	01:00:26	695	1072	700	4121	575
09/15/14	01:00:28	695	1071	700	4121	574
09/15/14	01:00:29	695	1072	700	4121	574
09/15/14	01:00:31	695	1071	700	4121	574
09/15/14	01:00:33	695	1072	700	4121	574
09/15/14	02:00:26	695	1070	700	4121	575
09/15/14	02:00:28	695	1070	700	4121	575
09/15/14	02:00:29	695	1071	700	4121	574
09/15/14	02:00:31	695	1071	700	4121	574
09/15/14	02:00:33	695	1071	700	4121	574
09/15/14	03:00:26	695	1065	700	4121	573
09/15/14	03:00:28	695	1066	700	4121	573
09/15/14	03:00:29	695	1067	700	4121	572
09/15/14	03:00:31	695	1067	700	4121	572
09/15/14	03:00:33	695	1066	700	4121	572
09/15/14	04:00:26	695	1064	700	4121	576
09/15/14	04:00:28	695	1065	700	4121	575
09/15/14	04:00:29	695	1064	700	4121	575
09/15/14	04:00:31	695	1066	700	4121	575
09/15/14	04:00:33	695	1066	700	4121	574
09/15/14	05:00:26	695	1067	700	4121	577
09/15/14	05:00:28	695	1069	700	4121	576
09/15/14	05:00:29	695	1070	700	4121	576
09/15/14	05:00:31	695	1069	700	4121	575
09/15/14	05:00:33	695	1068	700	4121	575
09/15/14	06:00:26	695	1090	700	4121	579
09/15/14	06:00:28	695	1090	700	4121	578
09/15/14	06:00:29	695	1091	700	4121	578
09/15/14	06:00:31	695	1090	700	4121	578
09/15/14	06:00:33	695	1089	700	4121	577
09/15/14	07:00:26	695	1101	700	4121	581
09/15/14	07:00:28	695	1102	700	4121	580
09/15/14	07:00:29	695	1100	700	4121	580
09/15/14	07:00:31	695	1101	700	4121	580
09/15/14	07:00:33	695	1101	700	4121	579
09/15/14	08:00:26	695	1089	700	4121	581
09/15/14	08:00:28	695	1090	700	4121	580
09/15/14	08:00:29	695	1089	700	4121	580
09/15/14	08:00:31	695	1089	700	4121	579
09/15/14	08:00:33	695	1089	700	4121	579
09/15/14	09:00:26	695	1097	700	4121	580
09/15/14	09:00:28	695	1098	700	4121	580
09/15/14	09:00:29	695	1097	700	4121	579
09/15/14	09:00:31	695	1097	700	4121	579
09/15/14	09:00:33	695	1098	700	4121	579
09/15/14	10:00:26	695	1042	700	4121	581
09/15/14	10:00:28	695	1042	700	4121	580
09/15/14	10:00:29	695	1042	700	4121	579
09/15/14	10:00:31	695	1042	700	4121	579
09/15/14	10:00:33	695	1042	700	4121	579
09/15/14	11:00:26	695	1048	700	4121	581
09/15/14	11:00:28	695	1048	700	4121	580
09/15/14	11:00:29	695	1048	700	4121	579
09/15/14	11:00:31	695	1048	700	4121	579
09/15/14	11:00:33	695	1048	700	4121	579
09/15/14	12:00:26	695	1060	700	4121	580
